,match_id,victor_team,radiant_team,dire_team
373,4889567589,Dire,3-129-43-93-121,100-75-57-8-23
374,4894768580,Radiant,57-106-69-86-10,27-50-104-25-95
375,4898286553,Dire,79-52-88-96-8,64-106-38-42-97
376,4901998619,Dire,71-56-95-33-16,20-43-96-72-91
377,4928253512,Dire,18-43-129-64-3,25-46-102-79-106
378,4910109990,Radiant,42-64-46-121-69,52-53-88-54-30
379,4902354217,Radiant,68-19-76-29-81,15-17-78-56-111
380,4881047305,Radiant,111-28-91-25-48,42-21-37-96-121
381,4912526961,Radiant,8-86-106-97-78,43-16-5-93-26
382,4892693972,Dire,66-114-60-71-89,79-119-54-17-98
383,4899779076,Radiant,97-93-119-50-10,71-112-106-1-65
384,4907579408,Radiant,3-54-61-86-14,80-76-96-79-121
385,4916380248,Dire,65-18-111-129-86,42-23-25-104-68
386,4898441612,Radiant,111-106-54-19-2,90-93-71-21-99
387,4897799006,Dire,106-5-45-71-25,66-76-57-95-119
388,4888646940,Radiant,37-106-38-67-86,121-88-52-44-96
389,4897243939,Radiant,65-15-121-27-42,66-23-86-29-54
390,4896993477,Dire,121-40-86-18-96,88-106-54-68-2
391,4895824037,Radiant,27-110-8-21-96,17-37-86-1-29
392,4928472489,Dire,86-76-96-87-42,7-95-33-85-45
393,4894824244,Radiant,102-13-2-7-10,86-43-96-68-8
394,4913493833,Dire,121-2-27-106-54,96-30-79-8-52
395,4892836621,Dire,83-49-72-91-38,97-79-96-45-18
396,4928910780,Dire,23-86-93-129-37,33-52-84-79-14
397,4926707332,Radiant,17-84-111-90-14,8-86-96-50-68
398,4890404686,Radiant,96-39-8-79-37,86-73-57-111-15
399,4916558750,Dire,41-43-19-104-25,121-84-21-23-42
400,4938371384,Radiant,5-88-96-93-40,30-52-121-129-12
401,4892013825,Dire,55-22-90-54-32,87-102-70-61-62
402,4898190830,Dire,79-35-42-33-71,37-52-57-18-5
403,4898062038,Dire,37-55-99-71-94,20-43-2-72-91
404,4887503910,Radiant,5-8-69-100-77,7-74-41-14-37
405,4910118564,Dire,121-69-86-10-17,2-25-83-54-52
406,4896604807,Radiant,121-95-88-57-10,52-76-33-42-30
407,4922077204,Radiant,37-15-106-71-65,89-21-129-64-3
408,4928388038,Radiant,19-64-120-106-33,86-89-71-30-94
409,4907515293,Radiant,52-41-129-97-37,119-13-33-93-14
410,4891072664,Dire,65-7-43-37-18,66-106-129-33-42
411,4903566049,Dire,98-96-72-91-110,66-50-19-49-8
412,4889525518,Dire,90-76-57-107-18,121-42-35-86-96
413,4916064631,Dire,17-79-10-129-85,89-106-33-64-3
414,4928914507,Radiant,7-3-13-19-10,52-76-91-8-111
415,4906422629,Dire,96-37-34-27-77,61-79-50-83-52
416,4913630877,Radiant,19-106-98-25-37,104-42-23-64-27
417,4913968531,Radiant,23-91-16-72-107,8-49-129-86-121
418,4895769989,Radiant,37-89-15-83-120,66-129-86-39-93
419,4931041658,Radiant,103-17-104-102-6,65-71-121-8-61
420,4918851891,Radiant,31-111-52-104-4,37-35-93-119-96
421,4890891138,Radiant,68-43-33-42-129,86-37-29-94-106
422,4898433464,Radiant,86-109-45-106-112,57-75-119-18-43
423,4894085062,Radiant,55-13-42-71-5,66-39-103-65-1
424,4913557770,Radiant,12-3-38-86-50,57-21-93-27-120
425,4932853525,Dire,57-75-7-95-106,25-50-111-16-8
426,4902186317,Dire,30-25-91-69-72,8-31-43-98-71
427,4892314675,Dire,121-43-129-37-95,120-19-91-54-39
428,4930913108,Dire,106-19-53-56-25,42-16-46-100-66
429,4928466291,Radiant,8-64-97-98-106,53-99-5-40-17
430,4897146106,Dire,7-93-121-43-52,71-25-97-8-111
431,4912166346,Dire,74-97-19-8-79,66-16-18-23-121
432,4912289447,Radiant,71-68-42-15-53,39-64-88-55-54
433,4899990684,Dire,72-50-111-91-99,64-25-2-106-33
434,4895677719,Radiant,37-57-86-23-93,60-106-8-97-119
435,4913388824,Radiant,57-44-23-50-97,28-67-106-71-37
436,4913453362,Dire,89-129-13-119-37,73-96-85-79-50
437,4905142847,Radiant,8-106-98-27-121,107-46-18-96-86
438,4938516947,Radiant,114-58-96-19-101,102-41-34-7-27
439,4940331127,Dire,57-37-114-27-18,104-93-111-71-25
